WOT-DATA,2
{{EN}},"Contains ""*"" for every tank which has a rotating turret."
{{RU}},"Содержит ""*"" для танков, имеющих вращающуюся башню."
china-Ch01_Type59,*,#589
china-Ch01_Type59_Gold,*,#589
china-Ch02_Type62,*,#589
china-Ch03_WZ_111_A,*,#589
china-Ch03_WZ-111,*,#589
china-Ch04_T34_1,*,#589
china-Ch04_T34_1_training,*,#589
china-Ch05_T34_2,*,#589
china-Ch06_Renault_NC31,*,#589
china-Ch06_Renault_NC31_bot,*,#589
china-Ch07_Vickers_MkE_Type_BT26,*,#589
china-Ch08_Type97_Chi_Ha,*,#589
china-Ch08_Type97_Chi_Ha_bootcamp,*,#589
china-Ch09_M5,*,#589
china-Ch10_IS2,*,#589
china-Ch11_110,*,#589
china-Ch11_110_IGR,*,#589
china-Ch12_111_1_2_3,*,#589
china-Ch14_T34_3,*,#589
china-Ch15_59_16,*,#589
china-Ch16_WZ_131,*,#589
china-Ch17_WZ131_1_WZ132,*,#589
china-Ch17_WZ131_1_WZ132_IGR,*,#589
china-Ch18_WZ-120,*,#589
china-Ch19_121,*,#589
china-Ch19_121_IGR,*,#589
china-Ch20_Type58,*,#589
china-Ch21_T34,*,#589
china-Ch22_113,*,#589
china-Ch22_113_Beijing_Opera,*,#589
china-Ch22_113P,*,#589
china-Ch23_112,*,#589
china-Ch23_112_FL,*,#589
china-Ch24_Type64,*,#589
china-Ch25_121_mod_1971B,*,#589
china-Ch26_59_Patton,*,#589
china-Ch28_WZ_132A,*,#589
china-Ch29_Type_62C_prot,*,#589
china-Ch41_WZ_111_5A,*,#589
china-Ch41_WZ_111_5A_bob,*,#589
china-Ch41_WZ_111_QL,*,#589
china-Ch42_WalkerBulldog_M41D,*,#589
czech-Cz01_Skoda_T40,*,#589
czech-Cz02_TVP_T50,*,#589
czech-Cz03_LT_vz35,*,#589
czech-Cz04_T50_51,*,#589
czech-Cz05_T34_100,*,#589
czech-Cz06_Kolohousenka,*,#589
czech-Cz07_TVP_46,*,#589
czech-Cz08_T_25,*,#589
czech-Cz09_T_24,*,#589
czech-Cz10_LT_vz38,*,#589
czech-Cz11_V_8_H,*,#589
czech-Cz13_T_27,*,#589
france-F01_RenaultFT,*,#589
france-F01_RenaultFT_bot,*,#589
france-F02_D1,*,#589
france-F03_D2,*,#589
france-F04_B1,*,#589
france-F04_B1_bootcamp,*,#589
france-F05_BDR_G1B,*,#589
france-F06_ARL_44,*,#589
france-F07_AMX_M4_1945,*,#589
france-F08_AMX_50_100,*,#589
france-F08_AMX_50_100_IGR,*,#589
france-F09_AMX_50_120,*,#589
france-F10_AMX_50B,*,#589
france-F10_AMX_50B_fallout,*,#589
france-F100_Panhard_EBR_90,*,#589
france-F106_Panhard_EBR_75_Mle1954,*,#589
france-F107_Hotchkiss_EBR,*,#589
france-F108_Panhard_EBR_105,*,#589
france-F109_AMD_Panhard_178B,*,#589
france-F11_Renault_G1R,*,#589
france-F110_Lynx_6x6,*,#589
france-F111_AM39_Gendron_Somua,*,#589
france-F112_M10_RBFM,*,#589
france-F113_Bretagne_Panther,*,#589
france-F114_Projet_4_1,*,#589
france-F115_Lorraine_50t,*,#589
france-F116_Bat_Chatillon_Bourrasque,*,#589
france-F12_Hotchkiss_H35,*,#589
france-F13_AMX38,*,#589
france-F14_AMX40,*,#589
france-F15_AMX_12t,*,#589
france-F16_AMX_13_75,*,#589
france-F17_AMX_13_90,*,#589
france-F17_AMX_13_90_Halloween_event,*,#589
france-F17_AMX_13_90_IGR,*,#589
france-F18_Bat_Chatillon25t,*,#589
france-F18_Bat_Chatillon25t_IGR,*,#589
france-F19_Lorraine40t,*,#589
france-F38_Bat_Chatillon155_58,*,#589
france-F42_AMR_35,*,#589
france-F43_AMC_35_SH,*,#589
france-F44_Somua_S35,*,#589
france-F49_RenaultR35,*,#589
france-F50_FCM36_20t,*,#589
france-F62_ELC_AMX,*,#589
france-F65_FCM_50t,*,#589
france-F67_Bat_Chatillon155_55,*,#589
france-F68_AMX_Chasseur_de_char_46,*,#589
france-F69_AMX13_57_100,*,#589
france-F69_AMX13_57_100_GrandFinal,*,#589
