WOT-DATA,2
{{ID}},Hull,Turret
{{EN}},"Hull armor thickness (front, sides, rear).","Top turret armor thickness (front, sides, rear)."
{{RU}},"Бронирование корпуса (перед, бока, зад).","Бронирование топ башни (перед, бока, зад)."
china-Ch01_Type59,100  80 45,230 130 60,#1031
china-Ch01_Type59_Gold,100  80 45,230 130 60,#1031
china-Ch02_Type62,35 20 20,45 30 20,#1031
china-Ch03_WZ_111_A,120 120 60,230 120 60,#1031
china-Ch03_WZ-111,120 120 60,230 120 60,#1031
china-Ch04_T34_1, 60  45 40,170 120 60,#1031
china-Ch04_T34_1_training,60 45 40,90 75 52,#1031
china-Ch05_T34_2,100  45 45,180 120 60,#1031
china-Ch06_Renault_NC31,16 16 16,22 22 22,#1031
china-Ch06_Renault_NC31_bot,16 16 16,22 22 22,#1031
china-Ch07_Vickers_MkE_Type_BT26,13 13 13,30 15 15,#1031
china-Ch08_Type97_Chi_Ha,25 25 20,35 25 25,#1031
china-Ch08_Type97_Chi_Ha_bootcamp,25 25 20,35 25 25,#1031
china-Ch09_M5,29 29 25,44 32 32,#1031
china-Ch10_IS2, 90 90 60,100 90 90,#1031
china-Ch11_110,120  90 60,201 148 50,#1031
china-Ch11_110_IGR,120  90 60,201 148 50,#1031
china-Ch12_111_1_2_3,120 120 60,230 120 60,#1031
china-Ch12_111_1_2_3_FL,120 120 60,230 120 60,#1031
china-Ch14_T34_3,100  80 45,200 130 60,#1031
china-Ch15_59_16,30 20 20,45 30 20,#1031
china-Ch16_WZ_131,35 20 20,45 30 20,#1031
china-Ch17_WZ131_1_WZ132,50 25 20,55 35 20,#1031
china-Ch17_WZ131_1_WZ132_IGR,50 25 20,55 35 20,#1031
china-Ch18_WZ-120,100  80 45,220 160 65,#1031
china-Ch19_121,135  80 60,240 130 60,#1031
china-Ch19_121_IGR,120  80 60,240 130 60,#1031
china-Ch20_Type58,45 45 40,90 75 52,#1031
china-Ch20_Type58_bootcamp,45 45 40,90 75 52,#1031
china-Ch21_T34,45 40 40,52 52 45,#1031
china-Ch22_113,120 120 70,290 180 80,#1031
china-Ch22_113_Beijing_Opera,120 120 70,290 180 80,#1031
china-Ch22_113P,120 120 70,290 180 80,#1031
china-Ch23_112,120 120 60,240 130 60,#1031
china-Ch23_112_FL,120 120 60,240 130 60,#1031
china-Ch24_Type64,25 13 19,25 13 13,#1031
china-Ch25_121_mod_1971B,135  80 60,275 200 60,#1031
china-Ch26_59_Patton,100 80 45,178 76 51,#1031
china-Ch28_WZ_132A,50 25 20,55 35 20,#1031
china-Ch29_Type_62C_prot, 50  25 20,200 160 65,#1031
china-Ch30_T-26G_FT,18 15 15,,#1031
china-Ch31_M3G_FT,25 25 25,,#1031
china-Ch32_SU-76G_FT,25 15 10,,#1031
china-Ch33_60G_FT,25 20 20,,#1031
china-Ch34_WZ131G_FT,35 20 20,,#1031
china-Ch35_T-34-2G_FT,70 45 45,,#1031
china-Ch36_WZ111_1G_FT,180 80 60,,#1031
china-Ch37_WZ111G_FT,200 80 60,,#1031
china-Ch38_WZ113G_FT,230 80 70,,#1031
china-Ch39_WZ120_1G_FT,120 80 45,,#1031
china-Ch39_WZ120_1G_FT_FL,120 80 45,,#1031
china-Ch40_WZ120G_FT,150 80 45,,#1031
china-Ch41_WZ_111_5A,140 120 60,300 180 60,#1031
china-Ch41_WZ_111_5A_bob,140 120 60,300 180 60,#1031
china-Ch41_WZ_111_QL,140 120 60,300 180 60,#1031
china-Ch42_WalkerBulldog_M41D,25 25 19,25 25 25,#1031
china-Ch43_WZ_122_2,120  80 50,280 140 70,#1031
china-Ch44_114_SP2, 75 75 50,135 75 50,#1031
china-Ch46_113_140,120 120 70,240 187 65,#1031
czech-Cz01_Skoda_T40,65 40 30,65 40 40,#1031
czech-Cz02_TVP_T50, 65 40 40,120 80 60,#1031
czech-Cz03_LT_vz35,25 16 16,25 16 16,#1031
czech-Cz04_T50_51, 65 40 30,120 80 60,#1031
czech-Cz05_T34_100,45 45 45,90 75 52,#1031
czech-Cz06_Kolohousenka,14  8  6,14 14 14,#1031
czech-Cz07_TVP_46,65 40 30,65 40 40,#1031
czech-Cz08_T_25,50 35 35,50 35 35,#1031
czech-Cz09_T_24,50 30 30,50 30 30,#1031
czech-Cz10_LT_vz38,25 15 15,50 30 25,#1031
czech-Cz11_V_8_H,32 25 20,60 40 30,#1031
czech-Cz13_T_27, 65  40  40,100 100 100,#1031
czech-Cz14_Skoda_T-56,100 70 70,220 95 70,#1031
czech-Cz15_Skoda_T-45_Prem,110 80 60,160 80 80,#1031
czech-Cz16_TNH_T_vz51,130  80 80,300 150 80,#1031
czech-Cz17_Vz_55,115  90 85,300 150 90,#1031
czech-Cz18_TNH_105_1000,125 80 55,230 90 60,#1031
czech-Cz19_Vz_44_1,110 80 60,200 80 80,#1031
france-F01_RenaultFT,16 16 16,22 22 16,#1031
france-F01_RenaultFT_bot,16 16 16,16 16 14,#1031
france-F02_D1,30 30 30,40 40 40,#1031
france-F03_D2,40 40 40,46 46 46,#1031
france-F04_B1,60 60 55,46 46 46,#1031
france-F04_B1_bootcamp,60 60 55,40 40 40,#1031
france-F05_BDR_G1B,60 40 60,80 70 60,#1031
france-F06_ARL_44,120 60 40,110 30 30,#1031
france-F07_AMX_M4_1945, 90 40 40,100 70 40,#1031
france-F08_AMX_50_100,90 35 30,90 30 30,#1031
france-F08_AMX_50_100_IGR,90 35 30,90 30 30,#1031
france-F09_AMX_50_120,100 80 60,100 80 60,#1031
france-F10_AMX_50B,170 30 30,100 50 30,#1031
france-F10_AMX_50B_fallout,170 30 30,100 50 30,#1031
france-F100_Panhard_EBR_90,40 16 40,40 25 20,#1031
france-F106_Panhard_EBR_75_Mle1954,40 16 40,40 20 20,#1031
france-F107_Hotchkiss_EBR,40 20 20,40 20 20,#1031
france-F108_Panhard_EBR_105,40 16 40,15 10 10,#1031
france-F109_AMD_Panhard_178B,20 13 13,20 13 13,#1031
france-F11_Renault_G1R,60 60 60,60 60 60,#1031
france-F110_Lynx_6x6,13 13 13,16 13 13,#1031
france-F111_AM39_Gendron_Somua,15 15 15,15 15 15,#1031
france-F112_M10_RBFM,38 19 19,57 25 25,#1031
france-F113_Bretagne_Panther, 80 40 40,100 45 45,#1031
france-F114_Projet_4_1, 55 40 30,140 90 30,#1031
france-F115_Lorraine_50t,155 60 40,300 80 40,#1031
france-F116_Bat_Chatillon_Bourrasque,40 20 20,15 10 10,#1031
france-F117_Alt_Proto_AMX_30, 60 40 30,150 40 30,#1031
france-F12_Hotchkiss_H35,40 40 40,40 40 40,#1031
france-F13_AMX38,60 40 40,60 40 40,#1031
france-F14_AMX40,70 65 40,80 60 60,#1031
france-F15_AMX_12t,50 20 15,30 20 20,#1031
france-F16_AMX_13_75,50 20 15,40 20 20,#1031
france-F17_AMX_13_90,50 20 15,40 20 20,#1031
france-F17_AMX_13_90_IGR,50 20 15,40 20 20,#1031
france-F18_Bat_Chatillon25t,60 40 30,50 30 15,#1031
france-F18_Bat_Chatillon25t_IGR,60 40 30,50 30 15,#1031
france-F19_Lorraine40t,40 30 25,45 30 20,#1031
france-F20_RenaultBS,16 16 16,,#1031
france-F21_Lorraine39_L_AM,20 9 16,,#1031
france-F22_AMX_105AM,40 20 15,,#1031
france-F23_AMX_13F3AM,40 20 15,,#1031
france-F23_AMX_13F3AM_MapsTraining_Dummy_SPG_2,1 1 1,,#1031
france-F24_Lorraine155_50,40 30 20,,#1031
france-F25_Lorraine155_51,40 30 25,,#1031
france-F27_FCM_36Pak40,40 20 20,,#1031
france-F28_105_leFH18B2,60 60 55,,#1031
france-F28_105_leFH18B2_IGR,60 60 55,,#1031
france-F30_RenaultFT_AC,16 16 16,,#1031
france-F32_Somua_Sau_40,36 35 35,,#1031
france-F33_S_35CA,56 35 35,,#1031
france-F33_S_35CA_IGR,56 35 35,,#1031
france-F34_ARL_V39,60 40 60,,#1031
france-F35_AMX_AC_Mle1946,120 40 40,,#1031
france-F36_AMX_AC_Mle1948,150 55 40,,#1031
france-F36_AMX_AC_Mle1948_IGR,150 40 40,,#1031
france-F37_AMX50_Foch,180 70 40,,#1031
france-F38_Bat_Chatillon155_58,16 16 12,,#1031
france-F42_AMR_35,15 10 10,20 10 10,#1031
france-F43_AMC_35_SH,20 15 10,60 40 30,#1031
france-F44_Somua_S35,47 40 35,40 40 60,#1031
france-F49_RenaultR35,40 40 32,40 40 40,#1031
france-F50_FCM36_20t,40 20 20,40 40 40,#1031
france-F52_RenaultUE57,9 6 6,,#1031
france-F62_ELC_AMX,25 10 15,20 15 10,#1031
france-F62_ELC_AMX_IGR,25 10 15,,#1031
france-F64_AMX_50Fosh_155,180 80 40,,#1031
france-F64_AMX_50Fosh_B,180 80 40,,#1031
france-F65_FCM_50t,120 80 80,120 80 60,#1031
france-F66_AMX_Ob_Am105,30 20 15,,#1031
france-F67_Bat_Chatillon155_55,16 16 12,,#1031
france-F68_AMX_Chasseur_de_char_46,30 20 20,30 20 20,#1031
france-F69_AMX13_57_100,50 20 15,40 20 20,#1031
france-F69_AMX13_57_100_GrandFinal,50 20 15,40 20 20,#1031
france-F70_SARL42,40 30 30,40 30 30,#1031
france-F71_AMX_30_prototype, 80 30 30,150 40 30,#1031
france-F72_AMX_30, 80 35 30,150 40 30,#1031
france-F73_M4A1_Revalorise,51 38 38,64 64 64,#1031
france-F73_M4A1_Revalorise_FL,51 38 38,64 64 64,#1031
france-F74_AMX_M4_1949,190  55 40,250 120 60,#1031
france-F74_AMX_M4_1949_FL,190  55 40,250 120 60,#1031
france-F74_AMX_M4_1949_Liberte,190  55 40,250 120 60,#1031
france-F75_Char_de_25t,30 25 20,25 25 20,#1031
france-F81_Char_de_65t,100 80 60,250 80 60,#1031
france-F82_AMX_M4_Mle1949_Ter,220 60 40,300 80 40,#1031
france-F83_AMX_M4_Mle1949_Bis,180 60 40,300 80 40,#1031
france-F83_AMX_M4_Mle1949_Bis_FL,180 60 40,300 80 40,#1031
france-F84_Somua_SM,140 90 70,120 60 60,#1031
france-F85_M4A1_FL10,51 38 38,40 20 20,#1031
france-F87_Batignolles-Chatillon_12t,40 20 20,25 25 25,#1031
france-F88_AMX_13_105,50 20 15,40 20 20,#1031
france-F89_Canon_dassaut_de_105,100 40 30,,#1031
france-F97_ELC_EVEN_90,15 10 10,15 10 10,#1031
france-F97_ELC_EVEN_90_FL,15 10 10,15 10 10,#1031
germany-Env_Artillery,30 15 0,,#1031
germany-G00_Bomber_SH,15 15 15,,#1031
germany-G02_Hummel,30 20 20,,#1031
germany-G03_PzV_Panther, 85 50 40,120 60 60,#1031
germany-G03_PzV_Panther_bootcamp, 85 50 40,100 45 45,#1031
germany-G03_PzV_Panther_IGR, 85 50 40,120 60 60,#1031
germany-G03_PzV_Panther_training,85 40 40,45 45 45,#1031
germany-G04_PzVI_Tiger_I,100 80 80,100 80 80,#1031
germany-G04_PzVI_Tiger_I_IGR,100 80 80,100 80 80,#1031
germany-G04_PzVI_Tiger_I_MapsTraining_Player_HT_2,100 80 80,100 80 80,#1031
germany-G04_PzVI_Tiger_IA,100 80 80,100 80 80,#1031
germany-G05_StuG_40_AusfG,80 30 50,,#1031
germany-G05_StuG_40_AusfG_IGR,80 30 50,,#1031
germany-G06_PzII,30 20 15,30 20 20,#1031
germany-G06_PzII_bot,30 20 15,30 15 15,#1031
germany-G07_Pz35t,25 16 16,25 16 16,#1031
germany-G08_Pz38t,25 15 15,50 30 25,#1031
germany-G08_Pz38t_bootcamp,25 15 15,25 15 15,#1031
germany-G09_Hetzer,60 20 8,,#1031
germany-G09_Hetzer_MapsTraining_Dummy_ATSPG_1,50 20 8,,#1031
germany-G10_PzIII_AusfJ,50 30 50,30 30 30,#1031
germany-G10_PzIII_AusfJ_training,30 30 50,30 30 30,#1031
germany-G100_Gtraktor_Krupp,14 8 8,14 8 8,#1031
germany-G101_StuG_III,50 30 30,,#1031
germany-G102_Pz_III,30 30 20,30 30 30,#1031
germany-G102_Pz_III_bootcamp,30 30 20,16 14 14,#1031
germany-G103_RU_251,25 20  8,20 20 20,#1031
germany-G104_Stug_IV,80 30 20,,#1031
germany-G105_T-55_NVA_DDR,100  80 45,240 180 65,#1031
germany-G106_PzKpfwPanther_AusfF, 85 50 40,120 60 60,#1031
germany-G107_PzKpfwIII_AusfK,50 30 50,50 30 30,#1031
