WOT-DATA,2
{{ID}},MaxDamage,MaxPenetration,MaxPenetrationDamage,TopGunReloadTime
{{EN}},Damage using the best gun/shell (except premium shells).,Penetration using the best gun/shell (except premium shells).,Damage using the most penetrating gun/shell (except premium shells).,Top gun reload time.
{{RU}},Урон лучшей пушкой/снарядом (кроме голды).,Пробитие лучшей пушкой/снарядом (кроме голды).,Урон пушкой/снарядом с лучшим пробитием (кроме голды).,Время перезарядки топового орудия.
china-Ch01_Type59,330,241,250,7.9,#1167
china-Ch01_Type59_Gold,330,241,250,7.9,#1167
china-Ch02_Type62,300,220,180,5.5,#1167
china-Ch03_WZ_111_A,530,250,390,12.5,#1167
china-Ch03_WZ-111,530,250,390,12.5,#1167
china-Ch04_T34_1,330,235,250,9.3,#1167
china-Ch04_T34_1_training,160,120,160,5,#1167
china-Ch05_T34_2,530,280,360,12,#1167
china-Ch06_Renault_NC31,42,74,36,2.3,#1167
china-Ch06_Renault_NC31_bot,5,29,5,2.5,#1167
china-Ch07_Vickers_MkE_Type_BT26,65,88,47,8,#1167
china-Ch08_Type97_Chi_Ha,95,130,70,3,#1167
china-Ch08_Type97_Chi_Ha_bootcamp,95,55,75,3,#1167
china-Ch09_M5,90,130,70,2.5,#1167
china-Ch10_IS2,530,250,390,12.3,#1167
china-Ch11_110,530,265,320,10,#1167
china-Ch11_110_IGR,420,265,320,10,#1167
china-Ch12_111_1_2_3,640,340,490,14,#1167
china-Ch12_111_1_2_3_FL,640,340,490,14,#1167
china-Ch14_T34_3,530,250,390,13.4,#1167
china-Ch15_59_16,165,189,85,3.8,#1167
china-Ch16_WZ_131,320,230,200,7.5,#1167
china-Ch17_WZ131_1_WZ132,330,241,250,7.8,#1167
china-Ch17_WZ131_1_WZ132_IGR,330,225,250,7.8,#1167
china-Ch18_WZ-120,530,340,440,11,#1167
china-Ch19_121,530,340,440,9.6,#1167
china-Ch19_121_IGR,530,340,440,9.6,#1167
china-Ch20_Type58,280,172,160,4.8,#1167
china-Ch20_Type58_bootcamp,220,172,160,5,#1167
china-Ch21_T34,156,189,85,2.3,#1167
china-Ch22_113,530,340,440,10,#1167
china-Ch22_113_Beijing_Opera,530,340,440,10,#1167
china-Ch22_113P,530,340,440,10,#1167
china-Ch23_112,530,250,390,12.6,#1167
china-Ch23_112_FL,530,250,390,12.6,#1167
china-Ch24_Type64,185,177,115,3.3,#1167
china-Ch25_121_mod_1971B,480,350,390,8.1,#1167
china-Ch26_59_Patton,320,250,240,7.5,#1167
china-Ch28_WZ_132A,420,248,320,9.2,#1167
china-Ch29_Type_62C_prot,480,280,390,10.7,#1167
china-Ch30_T-26G_FT,90,130,70,2.9,#1167
china-Ch31_M3G_FT,165,189,85,5,#1167
china-Ch32_SU-76G_FT,280,189,85,4.8,#1167
china-Ch33_60G_FT,300,220,180,4.8,#1167
china-Ch34_WZ131G_FT,330,241,250,8,#1167
china-Ch35_T-34-2G_FT,530,250,390,9.5,#1167
china-Ch36_WZ111_1G_FT,660,340,560,14,#1167
china-Ch37_WZ111G_FT,1100,395,750,18,#1167
china-Ch38_WZ113G_FT,1100,395,750,17,#1167
china-Ch39_WZ120_1G_FT,530,310,440,9.8,#1167
