WOT-DATA,2
{{EN}},"Contains ""*"" for every tank which has a rotating turret."
{{RU}},"Содержит ""*"" для танков, имеющих вращающуюся башню."
china-Ch01_Type59,*,#794
china-Ch01_Type59_Gold,*,#794
china-Ch02_Type62,*,#794
china-Ch03_WZ_111_A,*,#794
china-Ch03_WZ-111,*,#794
china-Ch04_T34_1,*,#794
china-Ch04_T34_1_training,*,#794
china-Ch05_T34_2,*,#794
china-Ch06_Renault_NC31,*,#794
china-Ch06_Renault_NC31_bot,*,#794
china-Ch07_Vickers_MkE_Type_BT26,*,#794
china-Ch08_Type97_Chi_Ha,*,#794
china-Ch08_Type97_Chi_Ha_bootcamp,*,#794
china-Ch09_M5,*,#794
china-Ch10_IS2,*,#794
china-Ch11_110,*,#794
china-Ch11_110_IGR,*,#794
china-Ch12_111_1_2_3,*,#794
china-Ch14_T34_3,*,#794
china-Ch15_59_16,*,#794
china-Ch16_WZ_131,*,#794
china-Ch17_WZ131_1_WZ132,*,#794
china-Ch17_WZ131_1_WZ132_IGR,*,#794
china-Ch18_WZ-120,*,#794
china-Ch19_121,*,#794
china-Ch19_121_IGR,*,#794
china-Ch20_Type58,*,#794
china-Ch20_Type58_bootcamp,*,#794
china-Ch21_T34,*,#794
china-Ch22_113,*,#794
china-Ch22_113_Beijing_Opera,*,#794
china-Ch22_113P,*,#794
china-Ch23_112,*,#794
china-Ch23_112_FL,*,#794
china-Ch24_Type64,*,#794
china-Ch25_121_mod_1971B,*,#794
china-Ch26_59_Patton,*,#794
china-Ch28_WZ_132A,*,#794
china-Ch29_Type_62C_prot,*,#794
china-Ch41_WZ_111_5A,*,#794
china-Ch41_WZ_111_5A_bob,*,#794
china-Ch41_WZ_111_QL,*,#794
china-Ch42_WalkerBulldog_M41D,*,#794
china-Ch43_WZ_122_2,*,#794
china-Ch44_114_SP2,*,#794
czech-Cz01_Skoda_T40,*,#794
czech-Cz02_TVP_T50,*,#794
czech-Cz03_LT_vz35,*,#794
czech-Cz04_T50_51,*,#794
czech-Cz05_T34_100,*,#794
czech-Cz06_Kolohousenka,*,#794
czech-Cz07_TVP_46,*,#794
czech-Cz08_T_25,*,#794
czech-Cz09_T_24,*,#794
czech-Cz10_LT_vz38,*,#794
czech-Cz11_V_8_H,*,#794
czech-Cz13_T_27,*,#794
czech-Cz15_Skoda_T-45_Prem,*,#794
france-F01_RenaultFT,*,#794
france-F01_RenaultFT_bot,*,#794
france-F02_D1,*,#794
france-F03_D2,*,#794
france-F04_B1,*,#794
france-F04_B1_bootcamp,*,#794
france-F05_BDR_G1B,*,#794
france-F06_ARL_44,*,#794
france-F07_AMX_M4_1945,*,#794
france-F08_AMX_50_100,*,#794
france-F08_AMX_50_100_IGR,*,#794
france-F09_AMX_50_120,*,#794
france-F10_AMX_50B,*,#794
france-F10_AMX_50B_fallout,*,#794
france-F100_Panhard_EBR_90,*,#794
france-F106_Panhard_EBR_75_Mle1954,*,#794
france-F107_Hotchkiss_EBR,*,#794
france-F108_Panhard_EBR_105,*,#794
france-F109_AMD_Panhard_178B,*,#794
france-F11_Renault_G1R,*,#794
france-F110_Lynx_6x6,*,#794
france-F111_AM39_Gendron_Somua,*,#794
france-F112_M10_RBFM,*,#794
france-F113_Bretagne_Panther,*,#794
france-F114_Projet_4_1,*,#794
france-F115_Lorraine_50t,*,#794
france-F116_Bat_Chatillon_Bourrasque,*,#794
france-F12_Hotchkiss_H35,*,#794
france-F13_AMX38,*,#794
france-F14_AMX40,*,#794
france-F15_AMX_12t,*,#794
france-F16_AMX_13_75,*,#794
france-F17_AMX_13_90,*,#794
france-F17_AMX_13_90_IGR,*,#794
france-F18_Bat_Chatillon25t,*,#794
france-F18_Bat_Chatillon25t_IGR,*,#794
france-F19_Lorraine40t,*,#794
france-F38_Bat_Chatillon155_58,*,#794
france-F42_AMR_35,*,#794
france-F43_AMC_35_SH,*,#794
france-F44_Somua_S35,*,#794
france-F49_RenaultR35,*,#794
france-F50_FCM36_20t,*,#794
france-F62_ELC_AMX,*,#794
france-F65_FCM_50t,*,#794
france-F67_Bat_Chatillon155_55,*,#794
france-F68_AMX_Chasseur_de_char_46,*,#794
france-F69_AMX13_57_100,*,#794
france-F69_AMX13_57_100_GrandFinal,*,#794
france-F70_SARL42,*,#794
france-F71_AMX_30_prototype,*,#794
france-F72_AMX_30,*,#794
france-F73_M4A1_Revalorise,*,#794
france-F73_M4A1_Revalorise_FL,*,#794
france-F74_AMX_M4_1949,*,#794
france-F74_AMX_M4_1949_FL,*,#794
france-F74_AMX_M4_1949_Liberte,*,#794
france-F75_Char_de_25t,*,#794
france-F81_Char_de_65t,*,#794
france-F82_AMX_M4_Mle1949_Ter,*,#794
france-F83_AMX_M4_Mle1949_Bis,*,#794
france-F84_Somua_SM,*,#794
france-F85_M4A1_FL10,*,#794
france-F87_Batignolles-Chatillon_12t,*,#794
france-F88_AMX_13_105,*,#794
france-F97_ELC_EVEN_90,*,#794
france-F97_ELC_EVEN_90_FL,*,#794
germany-G00_Bomber_SH,*,#794
germany-G03_PzV_Panther,*,#794
germany-G03_PzV_Panther_bootcamp,*,#794
germany-G03_PzV_Panther_IGR,*,#794
germany-G03_PzV_Panther_training,*,#794
germany-G04_PzVI_Tiger_I,*,#794
germany-G04_PzVI_Tiger_I_IGR,*,#794
germany-G04_PzVI_Tiger_IA,*,#794
germany-G06_PzII,*,#794
germany-G06_PzII_bot,*,#794
germany-G07_Pz35t,*,#794
germany-G08_Pz38t,*,#794
germany-G08_Pz38t_bootcamp,*,#794
germany-G10_PzIII_AusfJ,*,#794
germany-G10_PzIII_AusfJ_training,*,#794
germany-G100_Gtraktor_Krupp,*,#794
germany-G102_Pz_III,*,#794
germany-G102_Pz_III_bootcamp,*,#794
germany-G103_RU_251,*,#794
germany-G105_T-55_NVA_DDR,*,#794
germany-G106_PzKpfwPanther_AusfF,*,#794
germany-G107_PzKpfwIII_AusfK,*,#794
germany-G108_PzKpfwII_AusfD,*,#794
germany-G109_Steyr_WT,*,#794
germany-G110_Typ_205,*,#794
germany-G113_SP_I_C,*,#794
germany-G114_Rheinmetall_Skorpian,*,#794
germany-G114_Skorpian,*,#794
germany-G115_Typ_205_4_Jun,*,#794
germany-G115_Typ_205B,*,#794
germany-G116_Turan_III_prot,*,#794
germany-G117_Toldi_III,*,#794
germany-G117_Toldi_III_bootcamp,*,#794
germany-G118_VK4503,*,#794
germany-G119_Panzer58,*,#794
germany-G119_Panzer58_BF,*,#794
germany-G119_Panzer58_FL,*,#794
germany-G119_Pz58_Mutz,*,#794
germany-G12_Ltraktor,*,#794
germany-G12_Ltraktor_bot,*,#794
germany-G120_M41_90,*,#794
germany-G120_M41_90_GrandFinal,*,#794
germany-G122_VK6501H,*,#794
germany-G125_Spz_57_Rh,*,#794
germany-G126_HWK_12,*,#794
germany-G13_VK3001H,*,#794
germany-G134_PzKpfw_VII,*,#794
germany-G136_Tiger_131,*,#794
germany-G137_PzVI_Tiger_217,*,#794
germany-G138_VK168_02,*,#794
germany-G138_VK168_02_Mauerbrecher,*,#794
germany-G139_MKA,*,#794
germany-G140_HWK_30,*,#794
germany-G141_VK7501K,*,#794
germany-G142_M48RPz,*,#794
germany-G143_E75_TS,*,#794
germany-G144_Kpz_50t,*,#794
germany-G147_Kunze_Panzer,*,#794
germany-G15_VK3601H,*,#794
germany-G154_Kpz_07_RH,*,#794
germany-G16_PzVIB_Tiger_II,*,#794
germany-G16_PzVIB_Tiger_II_F,*,#794
germany-G16_PzVIB_Tiger_II_IGR,*,#794
germany-G16_PzVIB_Tiger_II_training,*,#794
germany-G24_VK3002DB,*,#794
germany-G24_VK3002DB_SH,*,#794
germany-G25_PzII_Luchs,*,#794
germany-G26_VK1602,*,#794
germany-G27_VK3001P,*,#794
germany-G28_PzIII_IV,*,#794
germany-G32_PzV_PzIV,*,#794
germany-G32_PzV_PzIV_ausf_Alfa,*,#794
germany-G32_PzV_PzIV_ausf_Alfa_CN,*,#794
germany-G32_PzV_PzIV_CN,*,#794
germany-G33_H39_captured,*,#794
germany-G34_S35_captured,*,#794
germany-G35_B-1bis_captured,*,#794
germany-G36_PzII_J,*,#794
germany-G42_Maus,*,#794
