WOT-DATA,2
{{ID}},Tank
{{EN}},Tank hit points with the top turret.
{{RU}},Прочность танка с топ башней.
china-Ch01_Type59,1300,#920
china-Ch01_Type59_Gold,1300,#920
china-Ch02_Type62,880,#920
china-Ch03_WZ_111_A,1550,#920
china-Ch03_WZ-111,1550,#920
china-Ch04_T34_1,1150,#920
china-Ch04_T34_1_training,960,#920
china-Ch05_T34_2,1400,#920
china-Ch06_Renault_NC31,235,#920
china-Ch06_Renault_NC31_bot,100,#920
china-Ch07_Vickers_MkE_Type_BT26,340,#920
china-Ch08_Type97_Chi_Ha,425,#920
china-Ch08_Type97_Chi_Ha_bootcamp,405,#920
china-Ch09_M5,520,#920
china-Ch10_IS2,1280,#920
china-Ch11_110,1550,#920
china-Ch11_110_IGR,1550,#920
china-Ch12_111_1_2_3,1850,#920
china-Ch12_111_1_2_3_FL,1850,#920
china-Ch14_T34_3,1400,#920
china-Ch15_59_16,670,#920
china-Ch16_WZ_131,900,#920
china-Ch17_WZ131_1_WZ132,1100,#920
china-Ch17_WZ131_1_WZ132_IGR,1100,#920
china-Ch18_WZ-120,1750,#920
china-Ch19_121,2050,#920
china-Ch19_121_IGR,1950,#920
china-Ch20_Type58,840,#920
china-Ch20_Type58_bootcamp,840,#920
china-Ch21_T34,590,#920
china-Ch22_113,2300,#920
china-Ch22_113_Beijing_Opera,2300,#920
china-Ch22_113P,2300,#920
china-Ch23_112,1500,#920
china-Ch23_112_FL,1500,#920
china-Ch24_Type64,650,#920
china-Ch25_121_mod_1971B,1950,#920
china-Ch26_59_Patton,1400,#920
china-Ch28_WZ_132A,1250,#920
china-Ch29_Type_62C_prot,1500,#920
china-Ch30_T-26G_FT,250,#920
china-Ch31_M3G_FT,285,#920
china-Ch32_SU-76G_FT,430,#920
china-Ch33_60G_FT,520,#920
china-Ch34_WZ131G_FT,620,#920
china-Ch35_T-34-2G_FT,800,#920
china-Ch36_WZ111_1G_FT,1000,#920
china-Ch37_WZ111G_FT,1800,#920
china-Ch38_WZ113G_FT,2100,#920
china-Ch39_WZ120_1G_FT,1100,#920
china-Ch39_WZ120_1G_FT_FL,1100,#920
china-Ch40_WZ120G_FT,1700,#920
china-Ch41_WZ_111_5A,2200,#920
china-Ch41_WZ_111_5A_bob,2200,#920
china-Ch41_WZ_111_QL,2200,#920
china-Ch42_WalkerBulldog_M41D,1100,#920
china-Ch43_WZ_122_2,1400,#920
china-Ch44_114_SP2,2000,#920
china-Ch46_113_140,1550,#920
czech-Cz01_Skoda_T40,780,#920
czech-Cz02_TVP_T50,1650,#920
czech-Cz03_LT_vz35,360,#920
czech-Cz04_T50_51,1800,#920
czech-Cz05_T34_100,1100,#920
czech-Cz06_Kolohousenka,235,#920
czech-Cz07_TVP_46,1450,#920
czech-Cz08_T_25,820,#920
czech-Cz09_T_24,590,#920
czech-Cz10_LT_vz38,390,#920
czech-Cz11_V_8_H,540,#920
czech-Cz13_T_27,1350,#920
czech-Cz14_Skoda_T-56,1500,#920
czech-Cz15_Skoda_T-45_Prem,1400,#920
czech-Cz16_TNH_T_vz51,1900,#920
czech-Cz17_Vz_55,2100,#920
czech-Cz18_TNH_105_1000,1500,#920
czech-Cz19_Vz_44_1,1400,#920
france-F01_RenaultFT,245,#920
france-F01_RenaultFT_bot,105,#920
france-F02_D1,340,#920
france-F03_D2,410,#920
france-F04_B1,660,#920
france-F04_B1_bootcamp,630,#920
france-F05_BDR_G1B,920,#920
france-F06_ARL_44,920,#920
france-F07_AMX_M4_1945,1350,#920
france-F08_AMX_50_100,1400,#920
france-F08_AMX_50_100_IGR,1400,#920
france-F09_AMX_50_120,1750,#920
france-F10_AMX_50B,2100,#920
france-F10_AMX_50B_fallout,2100,#920
france-F100_Panhard_EBR_90,1150,#920
france-F106_Panhard_EBR_75_Mle1954,950,#920
france-F107_Hotchkiss_EBR,750,#920
france-F108_Panhard_EBR_105,1300,#920
france-F109_AMD_Panhard_178B,640,#920
france-F11_Renault_G1R,600,#920
france-F110_Lynx_6x6,920,#920
france-F111_AM39_Gendron_Somua,280,#920
france-F112_M10_RBFM,470,#920
france-F113_Bretagne_Panther,940,#920
france-F114_Projet_4_1,1750,#920
france-F115_Lorraine_50t,1900,#920
france-F116_Bat_Chatillon_Bourrasque,1250,#920
france-F117_Alt_Proto_AMX_30,1250,#920
france-F12_Hotchkiss_H35,320,#920
france-F13_AMX38,390,#920
france-F14_AMX40,400,#920
france-F15_AMX_12t,650,#920
france-F16_AMX_13_75,850,#920
france-F17_AMX_13_90,1200,#920
france-F17_AMX_13_90_IGR,1200,#920
france-F18_Bat_Chatillon25t,1800,#920
france-F18_Bat_Chatillon25t_IGR,1800,#920
france-F19_Lorraine40t,1300,#920
france-F20_RenaultBS,160,#920
france-F21_Lorraine39_L_AM,215,#920
france-F22_AMX_105AM,290,#920
france-F23_AMX_13F3AM,300,#920
france-F23_AMX_13F3AM_MapsTraining_Dummy_SPG_2,100,#920
france-F24_Lorraine155_50,340,#920
france-F25_Lorraine155_51,390,#920
france-F27_FCM_36Pak40,320,#920
france-F28_105_leFH18B2,340,#920
france-F28_105_leFH18B2_IGR,260,#920
france-F30_RenaultFT_AC,240,#920
france-F32_Somua_Sau_40,430,#920
france-F33_S_35CA,430,#920
france-F33_S_35CA_IGR,330,#920
france-F34_ARL_V39,680,#920
france-F35_AMX_AC_Mle1946,820,#920
france-F36_AMX_AC_Mle1948,1000,#920
france-F36_AMX_AC_Mle1948_IGR,1000,#920
france-F37_AMX50_Foch,1550,#920
france-F38_Bat_Chatillon155_58,490,#920
france-F42_AMR_35,360,#920
france-F43_AMC_35_SH,1400,#920
france-F44_Somua_S35,445,#920
france-F49_RenaultR35,310,#920
france-F50_FCM36_20t,280,#920
france-F52_RenaultUE57,265,#920
france-F62_ELC_AMX,490,#920
france-F62_ELC_AMX_IGR,320,#920
france-F64_AMX_50Fosh_155,1850,#920
france-F64_AMX_50Fosh_B,1850,#920
france-F65_FCM_50t,1500,#920
france-F66_AMX_Ob_Am105,260,#920
france-F67_Bat_Chatillon155_55,440,#920
france-F68_AMX_Chasseur_de_char_46,1400,#920
france-F69_AMX13_57_100,890,#920
france-F69_AMX13_57_100_GrandFinal,890,#920
france-F70_SARL42,540,#920
france-F71_AMX_30_prototype,1650,#920
france-F72_AMX_30,1900,#920
france-F73_M4A1_Revalorise,1400,#920
france-F73_M4A1_Revalorise_FL,1400,#920
france-F74_AMX_M4_1949,1500,#920
france-F74_AMX_M4_1949_FL,1500,#920
france-F74_AMX_M4_1949_Liberte,1500,#920
france-F75_Char_de_25t,1600,#920
france-F81_Char_de_65t,1550,#920
france-F82_AMX_M4_Mle1949_Ter,2200,#920
france-F83_AMX_M4_Mle1949_Bis,1900,#920
france-F83_AMX_M4_Mle1949_Bis_FL,1900,#920
france-F84_Somua_SM,1450,#920
france-F85_M4A1_FL10,810,#920
france-F87_Batignolles-Chatillon_12t,1000,#920
