WOT-DATA,2
{{EN}},"Short tank names, original – like in the game."
{{RU}},"Короткие названия танков, оригинал – как в игре."
china-Ch01_Type59,Type 59,#780
china-Ch01_Type59_Gold,Type 59 G,#780
china-Ch02_Type62,Type 62,#780
china-Ch03_WZ_111_A,Alpentiger,#780
china-Ch03_WZ-111,WZ-111,#780
china-Ch04_T34_1,T-34-1,#780
china-Ch04_T34_1_training,T-34-1,#780
china-Ch05_T34_2,T-34-2,#780
china-Ch06_Renault_NC31,NC-31,#780
china-Ch06_Renault_NC31_bot,NC-31,#780
china-Ch07_Vickers_MkE_Type_BT26,VAE Type B,#780
china-Ch08_Type97_Chi_Ha,Chi-Ha,#780
china-Ch08_Type97_Chi_Ha_bootcamp,Chi-Ha,#780
china-Ch09_M5,M5A1 Stuart,#780
china-Ch10_IS2,IS-2,#780
china-Ch11_110,110,#780
china-Ch11_110_IGR,110,#780
china-Ch12_111_1_2_3,WZ-111 1-4,#780
china-Ch14_T34_3,T-34-3,#780
china-Ch15_59_16,59-16,#780
china-Ch16_WZ_131,WZ-131,#780
china-Ch17_WZ131_1_WZ132,WZ-132,#780
china-Ch17_WZ131_1_WZ132_IGR,WZ-132,#780
china-Ch18_WZ-120,WZ-120,#780
china-Ch19_121,121,#780
china-Ch19_121_IGR,121,#780
china-Ch20_Type58,Type 58,#780
china-Ch20_Type58_bootcamp,Type 58,#780
china-Ch21_T34,Type T-34,#780
china-Ch22_113,113,#780
china-Ch22_113_Beijing_Opera,113 BO,#780
china-Ch22_113P,113,#780
china-Ch23_112,112,#780
china-Ch23_112_FL,112 FL,#780
china-Ch24_Type64,Type 64,#780
china-Ch25_121_mod_1971B,121B,#780
china-Ch26_59_Patton,59-Patton,#780
china-Ch28_WZ_132A,WZ-132A,#780
china-Ch29_Type_62C_prot,WZ-132-1,#780
china-Ch30_T-26G_FT,T-26G FT,#780
china-Ch31_M3G_FT,M3G FT,#780
china-Ch32_SU-76G_FT,SU-76G FT,#780
china-Ch33_60G_FT,60G FT,#780
china-Ch34_WZ131G_FT,WZ-131G FT,#780
china-Ch35_T-34-2G_FT,T-34-2G FT,#780
china-Ch36_WZ111_1G_FT,WZ-111-1 FT,#780
china-Ch37_WZ111G_FT,WZ-111G FT,#780
china-Ch38_WZ113G_FT,WZ-113G FT,#780
china-Ch39_WZ120_1G_FT,WZ-120-1 FT,#780
china-Ch39_WZ120_1G_FT_FL,WZ-120-1 FT FL,#780
china-Ch40_WZ120G_FT,WZ-120G FT,#780
china-Ch41_WZ_111_5A,WZ-111 5A,#780
china-Ch41_WZ_111_5A_bob,WZ-111 5A BB,#780
china-Ch41_WZ_111_QL,WZ-111 QL,#780
china-Ch42_WalkerBulldog_M41D,M41D,#780
china-Ch43_WZ_122_2,122 TM,#780
china-Ch44_114_SP2,114 SP2,#780
czech-Cz01_Skoda_T40,Škoda T 40,#780
czech-Cz02_TVP_T50,Škoda T 50,#780
czech-Cz03_LT_vz35,LT vz. 35,#780
czech-Cz04_T50_51,TVP T 50/51,#780
czech-Cz05_T34_100,T-34/100,#780
czech-Cz06_Kolohousenka,K-housenka,#780
czech-Cz07_TVP_46,TVP VTU,#780
czech-Cz08_T_25,Škoda T 25,#780
czech-Cz09_T_24,Škoda T 24,#780
czech-Cz10_LT_vz38,LT vz. 38,#780
czech-Cz11_V_8_H,ST vz. 39,#780
czech-Cz13_T_27,Škoda T 27,#780
czech-Cz15_Skoda_T-45_Prem,Škoda T 45,#780
france-F01_RenaultFT,FT,#780
france-F01_RenaultFT_bot,FT,#780
france-F02_D1,D1,#780
france-F03_D2,D2,#780
france-F04_B1,B1,#780
france-F04_B1_bootcamp,B1,#780
france-F05_BDR_G1B,BDR G1 B,#780
france-F06_ARL_44,ARL 44,#780
france-F07_AMX_M4_1945,AMX M4 45,#780
france-F08_AMX_50_100,AMX 50 100,#780
france-F08_AMX_50_100_IGR,AMX 50 100,#780
france-F09_AMX_50_120,AMX 50 120,#780
france-F10_AMX_50B,AMX 50 B,#780
france-F10_AMX_50B_fallout,(R) AMX 50 B,#780
france-F100_Panhard_EBR_90,EBR 90,#780
france-F106_Panhard_EBR_75_Mle1954,EBR 75 FL 10,#780
france-F107_Hotchkiss_EBR,EBR Hotch.,#780
france-F108_Panhard_EBR_105,EBR 105,#780
france-F109_AMD_Panhard_178B,AMD 178B,#780
france-F11_Renault_G1R,G1 R,#780
france-F110_Lynx_6x6,Lynx 6x6,#780
france-F111_AM39_Gendron_Somua,AM Gendron,#780
france-F112_M10_RBFM,M10 RBFM,#780
france-F113_Bretagne_Panther,Bret. Panther,#780
france-F114_Projet_4_1,Char Futur 4,#780
france-F115_Lorraine_50t,Lorraine 50 t,#780
france-F116_Bat_Chatillon_Bourrasque,Bourrasque,#780
france-F12_Hotchkiss_H35,H35,#780
france-F13_AMX38,AMX 38,#780
france-F14_AMX40,AMX 40,#780
france-F15_AMX_12t,AMX 12 t,#780
france-F16_AMX_13_75,AMX 13 75,#780
france-F17_AMX_13_90,AMX 13 90,#780
france-F17_AMX_13_90_IGR,AMX 13 90,#780
france-F18_Bat_Chatillon25t,B-C 25 t,#780
france-F18_Bat_Chatillon25t_IGR,B-C 25 t,#780
france-F19_Lorraine40t,Lorr. 40 t,#780
france-F20_RenaultBS,FT BS,#780
france-F21_Lorraine39_L_AM,Lorr. 39L AM,#780
france-F22_AMX_105AM,AMX 13 AM,#780
france-F23_AMX_13F3AM,AMX 13 F3,#780
france-F24_Lorraine155_50,Lorr. 155 50,#780
france-F25_Lorraine155_51,Lorr. 155 51,#780
france-F27_FCM_36Pak40,FCM36Pak40,#780
france-F28_105_leFH18B2,leFH18B2,#780
france-F28_105_leFH18B2_IGR,leFH18B2,#780
france-F30_RenaultFT_AC,FT AC,#780
france-F32_Somua_Sau_40,SAu 40,#780
france-F33_S_35CA,S35 CA,#780
france-F33_S_35CA_IGR,S35 CA,#780
france-F34_ARL_V39,ARL V39,#780
france-F35_AMX_AC_Mle1946,AMX AC 46,#780
france-F36_AMX_AC_Mle1948,AMX AC 48,#780
france-F36_AMX_AC_Mle1948_IGR,AMX AC 48,#780
france-F37_AMX50_Foch,Foch,#780
france-F38_Bat_Chatillon155_58,B-C 155 58,#780
france-F42_AMR_35,AMR 35,#780
france-F43_AMC_35_SH,Arlequin,#780
france-F44_Somua_S35,Somua S35,#780
france-F49_RenaultR35,R35,#780
france-F50_FCM36_20t,FCM 36,#780
france-F52_RenaultUE57,UE 57,#780
france-F62_ELC_AMX,AMX ELC bis,#780
france-F62_ELC_AMX_IGR,ELC AMX,#780
france-F64_AMX_50Fosh_155,Foch 155,#780
france-F64_AMX_50Fosh_B,Foch B,#780
france-F65_FCM_50t,FCM 50 t,#780
france-F66_AMX_Ob_Am105,AMX 105 AM,#780
france-F67_Bat_Chatillon155_55,B-C 155 55,#780
france-F68_AMX_Chasseur_de_char_46,AMX CDC,#780
france-F69_AMX13_57_100,AMX 13 57,#780
france-F69_AMX13_57_100_GrandFinal,AMX 13 57F,#780
france-F70_SARL42,SARL 42,#780
france-F71_AMX_30_prototype,AMX 30,#780
france-F72_AMX_30,AMX 30 B,#780
france-F73_M4A1_Revalorise,M4A1 Rev.,#780
france-F73_M4A1_Revalorise_FL,M4A1 Rev. FL,#780
france-F74_AMX_M4_1949,AMX M4 49,#780
france-F74_AMX_M4_1949_FL,AMX M4 49 FL,#780
france-F74_AMX_M4_1949_Liberte,AMX M4 49 L,#780
france-F75_Char_de_25t,B-C 25 t AP,#780
france-F81_Char_de_65t,AMX 65 t,#780
france-F82_AMX_M4_Mle1949_Ter,AMX M4 54,#780
france-F83_AMX_M4_Mle1949_Bis,AMX M4 51,#780
france-F84_Somua_SM,Somua SM,#780
france-F85_M4A1_FL10,M4A1 FL 10,#780
france-F87_Batignolles-Chatillon_12t,B-C 12 t,#780
france-F88_AMX_13_105,AMX 13 105,#780
france-F89_Canon_dassaut_de_105,AMX Cda 105,#780
france-F97_ELC_EVEN_90,ELC EVEN 90,#780
france-F97_ELC_EVEN_90_FL,ELC EVEN 90 FL,#780
germany-Env_Artillery,#germany_vehicles:Env_Artillery,#780
germany-G00_Bomber_SH,Feuerball,#780
germany-G02_Hummel,Hummel,#780
germany-G03_PzV_Panther,Panther,#780
germany-G03_PzV_Panther_bootcamp,Panther,#780
germany-G03_PzV_Panther_IGR,Panther,#780
germany-G03_PzV_Panther_training,Panther,#780
germany-G04_PzVI_Tiger_I,Tiger I,#780
germany-G04_PzVI_Tiger_I_IGR,Tiger I,#780
germany-G04_PzVI_Tiger_IA,Tiger I L/56,#780
germany-G05_StuG_40_AusfG,StuG III G,#780
germany-G05_StuG_40_AusfG_IGR,StuG III G,#780
germany-G06_PzII,Pz. II,#780
germany-G06_PzII_bot,Pz. II,#780
germany-G07_Pz35t,Pz. 35 (t),#780
germany-G08_Pz38t,Pz. 38 (t),#780
germany-G08_Pz38t_bootcamp,Pz. 38 (t),#780
germany-G09_Hetzer,Hetzer,#780
germany-G10_PzIII_AusfJ,Pz. III J,#780
germany-G10_PzIII_AusfJ_training,Pz. III J,#780
germany-G100_Gtraktor_Krupp,Gr.Tr.,#780
germany-G101_StuG_III,StuG III B,#780
germany-G102_Pz_III,Pz. III E,#780
germany-G102_Pz_III_bootcamp,Pz. III E,#780
germany-G103_RU_251,Ru 251,#780
germany-G104_Stug_IV,StuG IV,#780
germany-G105_T-55_NVA_DDR,T 55A,#780
germany-G106_PzKpfwPanther_AusfF,"Panther 8,8",#780
