WOT-DATA,2
{{ID}},Forward,Reverse
{{EN}},Maximum forward speed.,Maximum reverse speed.
{{RU}},Максимальная скорость вперед.,Максимальная скорость назад.
china-Ch01_Type59,56,20,#950
china-Ch01_Type59_Gold,56,20,#950
china-Ch02_Type62,60,23,#950
china-Ch03_WZ_111_A,50,15,#950
china-Ch03_WZ-111,50,15,#950
china-Ch04_T34_1,50,20,#950
china-Ch04_T34_1_training,50,20,#950
china-Ch05_T34_2,50,20,#950
china-Ch06_Renault_NC31,25,8,#950
china-Ch06_Renault_NC31_bot,25,8,#950
china-Ch07_Vickers_MkE_Type_BT26,35,15,#950
china-Ch08_Type97_Chi_Ha,40,15,#950
china-Ch08_Type97_Chi_Ha_bootcamp,40,15,#950
china-Ch09_M5,"64,4",20,#950
china-Ch10_IS2,37,14,#950
china-Ch11_110,40,15,#950
china-Ch11_110_IGR,40,15,#950
china-Ch12_111_1_2_3,50,15,#950
china-Ch12_111_1_2_3_FL,50,15,#950
china-Ch14_T34_3,50,20,#950
china-Ch15_59_16,60,23,#950
china-Ch16_WZ_131,60,23,#950
china-Ch17_WZ131_1_WZ132,64,23,#950
china-Ch17_WZ131_1_WZ132_IGR,64,23,#950
china-Ch18_WZ-120,60,20,#950
china-Ch19_121,56,20,#950
china-Ch19_121_IGR,56,20,#950
china-Ch20_Type58,55,20,#950
china-Ch20_Type58_bootcamp,40,20,#950
china-Ch21_T34,55,20,#950
china-Ch22_113,50,15,#950
china-Ch22_113_Beijing_Opera,50,15,#950
china-Ch22_113P,50,15,#950
china-Ch23_112,45,15,#950
china-Ch23_112_FL,45,15,#950
china-Ch24_Type64,"72,4",23,#950
china-Ch25_121_mod_1971B,55,25,#950
china-Ch26_59_Patton,50,20,#950
china-Ch28_WZ_132A,64,23,#950
china-Ch29_Type_62C_prot,65,23,#950
china-Ch30_T-26G_FT,36,10,#950
china-Ch31_M3G_FT,55,12,#950
china-Ch32_SU-76G_FT,45,12,#950
china-Ch33_60G_FT,45,18,#950
china-Ch34_WZ131G_FT,50,18,#950
china-Ch35_T-34-2G_FT,50,16,#950
china-Ch36_WZ111_1G_FT,35,18,#950
china-Ch37_WZ111G_FT,35,16,#950
china-Ch38_WZ113G_FT,38,16,#950
china-Ch39_WZ120_1G_FT,50,20,#950
china-Ch39_WZ120_1G_FT_FL,50,20,#950
china-Ch40_WZ120G_FT,47,20,#950
china-Ch41_WZ_111_5A,50,15,#950
china-Ch41_WZ_111_5A_bob,50,15,#950
china-Ch41_WZ_111_QL,50,15,#950
china-Ch42_WalkerBulldog_M41D,68,24,#950
china-Ch43_WZ_122_2,50,15,#950
china-Ch44_114_SP2,45,18,#950
china-Ch46_113_140,50,15,#950
czech-Cz01_Skoda_T40,50,20,#950
czech-Cz02_TVP_T50,50,20,#950
czech-Cz03_LT_vz35,34,15,#950
czech-Cz04_T50_51,60,20,#950
czech-Cz05_T34_100,54,20,#950
czech-Cz06_Kolohousenka,25,8,#950
czech-Cz07_TVP_46,50,20,#950
czech-Cz08_T_25,60,20,#950
czech-Cz09_T_24,58,18,#950
czech-Cz10_LT_vz38,42,18,#950
czech-Cz11_V_8_H,45,18,#950
czech-Cz13_T_27,50,20,#950
czech-Cz14_Skoda_T-56,35,15,#950
czech-Cz15_Skoda_T-45_Prem,30,14,#950
czech-Cz16_TNH_T_vz51,50,15,#950
czech-Cz17_Vz_55,50,15,#950
czech-Cz18_TNH_105_1000,50,15,#950
czech-Cz19_Vz_44_1,30,14,#950
france-F01_RenaultFT,21,8,#950
france-F01_RenaultFT_bot,21,8,#950
france-F02_D1,28,12,#950
france-F03_D2,23,12,#950
france-F04_B1,30,10,#950
france-F04_B1_bootcamp,30,10,#950
france-F05_BDR_G1B,30,10,#950
france-F06_ARL_44,37,10,#950
france-F07_AMX_M4_1945,35,12,#950
france-F08_AMX_50_100,51,20,#950
france-F08_AMX_50_100_IGR,51,20,#950
france-F09_AMX_50_120,65,20,#950
france-F10_AMX_50B,65,20,#950
france-F10_AMX_50B_fallout,65,20,#950
france-F100_Panhard_EBR_90,65,65,#950
france-F106_Panhard_EBR_75_Mle1954,60,60,#950
france-F107_Hotchkiss_EBR,70,45,#950
france-F108_Panhard_EBR_105,70,50,#950
france-F109_AMD_Panhard_178B,65,65,#950
france-F11_Renault_G1R,40,12,#950
france-F110_Lynx_6x6,58,40,#950
france-F111_AM39_Gendron_Somua,50,30,#950
france-F112_M10_RBFM,48,12,#950
france-F113_Bretagne_Panther,55,20,#950
france-F114_Projet_4_1,60,20,#950
france-F115_Lorraine_50t,50,15,#950
france-F116_Bat_Chatillon_Bourrasque,62,23,#950
france-F117_Alt_Proto_AMX_30,65,23,#950
france-F12_Hotchkiss_H35,27,11,#950
france-F13_AMX38,25,10,#950
france-F14_AMX40,50,20,#950
france-F15_AMX_12t,60,23,#950
france-F16_AMX_13_75,61,23,#950
france-F17_AMX_13_90,64,23,#950
france-F17_AMX_13_90_IGR,64,23,#950
france-F18_Bat_Chatillon25t,65,23,#950
france-F18_Bat_Chatillon25t_IGR,65,23,#950
france-F19_Lorraine40t,60,23,#950
france-F20_RenaultBS,19,6,#950
