WOT-DATA,2
{{ID}},TopTurretBase
{{EN}},Base visibility with top turret.
{{RU}},Базовый обзор из топ башни.
china-Ch01_Type59,380,#606
china-Ch01_Type59_Gold,380,#606
china-Ch02_Type62,390,#606
china-Ch03_WZ_111_A,380,#606
china-Ch03_WZ-111,380,#606
china-Ch04_T34_1,370,#606
china-Ch04_T34_1_training,360,#606
china-Ch05_T34_2,380,#606
china-Ch06_Renault_NC31,280,#606
china-Ch06_Renault_NC31_bot,250,#606
china-Ch07_Vickers_MkE_Type_BT26,310,#606
china-Ch08_Type97_Chi_Ha,330,#606
china-Ch08_Type97_Chi_Ha_bootcamp,310,#606
china-Ch09_M5,350,#606
china-Ch10_IS2,350,#606
china-Ch11_110,380,#606
china-Ch11_110_IGR,380,#606
china-Ch12_111_1_2_3,400,#606
china-Ch14_T34_3,380,#606
china-Ch15_59_16,360,#606
china-Ch16_WZ_131,370,#606
china-Ch17_WZ131_1_WZ132,380,#606
china-Ch17_WZ131_1_WZ132_IGR,380,#606
china-Ch18_WZ-120,390,#606
china-Ch19_121,400,#606
china-Ch19_121_IGR,400,#606
china-Ch20_Type58,370,#606
china-Ch21_T34,350,#606
china-Ch22_113,400,#606
china-Ch22_113_Beijing_Opera,400,#606
china-Ch22_113P,400,#606
china-Ch23_112,380,#606
china-Ch23_112_FL,380,#606
china-Ch24_Type64,390,#606
china-Ch25_121_mod_1971B,420,#606
china-Ch26_59_Patton,400,#606
china-Ch28_WZ_132A,390,#606
china-Ch29_Type_62C_prot,400,#606
china-Ch30_T-26G_FT,270,#606
china-Ch31_M3G_FT,310,#606
china-Ch32_SU-76G_FT,320,#606
china-Ch33_60G_FT,340,#606
china-Ch34_WZ131G_FT,350,#606
china-Ch35_T-34-2G_FT,360,#606
china-Ch36_WZ111_1G_FT,370,#606
china-Ch37_WZ111G_FT,380,#606
china-Ch38_WZ113G_FT,390,#606
china-Ch39_WZ120_1G_FT,380,#606
china-Ch39_WZ120_1G_FT_FL,380,#606
china-Ch40_WZ120G_FT,390,#606
china-Ch41_WZ_111_5A,400,#606
china-Ch41_WZ_111_5A_bob,400,#606
china-Ch41_WZ_111_QL,400,#606
china-Ch42_WalkerBulldog_M41D,390,#606
china-Ch43_WZ_122_2,370,#606
czech-Cz01_Skoda_T40,370,#606
czech-Cz02_TVP_T50,400,#606
czech-Cz03_LT_vz35,320,#606
czech-Cz04_T50_51,410,#606
czech-Cz05_T34_100,370,#606
czech-Cz06_Kolohousenka,280,#606
czech-Cz07_TVP_46,380,#606
czech-Cz08_T_25,360,#606
czech-Cz09_T_24,350,#606
czech-Cz10_LT_vz38,330,#606
czech-Cz11_V_8_H,340,#606
czech-Cz13_T_27,380,#606
france-F01_RenaultFT,280,#606
france-F01_RenaultFT_bot,250,#606
france-F02_D1,300,#606
france-F03_D2,320,#606
france-F04_B1,330,#606
france-F04_B1_bootcamp,300,#606
france-F05_BDR_G1B,320,#606
france-F06_ARL_44,350,#606
france-F07_AMX_M4_1945,360,#606
france-F08_AMX_50_100,380,#606
france-F08_AMX_50_100_IGR,380,#606
france-F09_AMX_50_120,390,#606
france-F10_AMX_50B,400,#606
france-F10_AMX_50B_fallout,400,#606
france-F100_Panhard_EBR_90,330,#606
france-F106_Panhard_EBR_75_Mle1954,310,#606
france-F107_Hotchkiss_EBR,310,#606
france-F108_Panhard_EBR_105,340,#606
france-F109_AMD_Panhard_178B,300,#606
france-F11_Renault_G1R,350,#606
france-F110_Lynx_6x6,310,#606
france-F111_AM39_Gendron_Somua,280,#606
france-F112_M10_RBFM,370,#606
france-F113_Bretagne_Panther,370,#606
france-F114_Projet_4_1,380,#606
france-F115_Lorraine_50t,380,#606
france-F116_Bat_Chatillon_Bourrasque,390,#606
france-F12_Hotchkiss_H35,300,#606
france-F13_AMX38,310,#606
france-F14_AMX40,340,#606
