WOT-DATA,2
china-Ch01_Type59, medium premium
china-Ch01_Type59_Gold, medium premium
china-Ch02_Type62, light premium
china-Ch03_WZ_111_A, heavy premium
china-Ch03_WZ-111, heavy premium
china-Ch04_T34_1, medium
china-Ch04_T34_1_training, medium premium
china-Ch05_T34_2, medium
china-Ch06_Renault_NC31, light
china-Ch06_Renault_NC31_bot,light premium
china-Ch07_Vickers_MkE_Type_BT26, drum light
china-Ch08_Type97_Chi_Ha, light
china-Ch08_Type97_Chi_Ha_bootcamp, light premium
china-Ch09_M5, light
china-Ch10_IS2, heavy
china-Ch11_110, heavy
china-Ch11_110_IGR, heavy
china-Ch12_111_1_2_3,heavy
china-Ch12_111_1_2_3_FL,heavy premium
china-Ch14_T34_3, medium premium
china-Ch15_59_16, light
china-Ch16_WZ_131, light
china-Ch17_WZ131_1_WZ132, light
china-Ch17_WZ131_1_WZ132_IGR, light
china-Ch18_WZ-120, medium
china-Ch19_121, medium
china-Ch19_121_IGR, medium
china-Ch20_Type58, medium
china-Ch20_Type58_bootcamp, medium premium
china-Ch21_T34, medium
china-Ch22_113, heavy
china-Ch22_113_Beijing_Opera, heavy premium
china-Ch22_113P, heavy premium
china-Ch23_112, heavy premium
china-Ch23_112_FL, heavy premium
china-Ch24_Type64, light premium
china-Ch25_121_mod_1971B, medium premium
china-Ch26_59_Patton, medium premium
china-Ch28_WZ_132A, light
china-Ch29_Type_62C_prot, light
china-Ch30_T-26G_FT, destroyer
china-Ch31_M3G_FT, destroyer
china-Ch32_SU-76G_FT, destroyer
china-Ch33_60G_FT, destroyer
china-Ch34_WZ131G_FT, destroyer
china-Ch35_T-34-2G_FT, destroyer
china-Ch36_WZ111_1G_FT, destroyer
china-Ch37_WZ111G_FT, destroyer
china-Ch38_WZ113G_FT, destroyer
china-Ch39_WZ120_1G_FT, destroyer premium
china-Ch39_WZ120_1G_FT_FL,destroyer premium
china-Ch40_WZ120G_FT, destroyer premium
china-Ch41_WZ_111_5A, heavy
china-Ch41_WZ_111_5A_bob, heavy premium
china-Ch41_WZ_111_QL, heavy premium
china-Ch42_WalkerBulldog_M41D, light premium
china-Ch43_WZ_122_2,medium premium
china-Ch44_114_SP2,destroyer premium
china-Ch46_113_140,heavy premium
czech-Cz01_Skoda_T40, medium premium
czech-Cz02_TVP_T50, drum medium
czech-Cz03_LT_vz35, light
czech-Cz04_T50_51,  drum medium
czech-Cz05_T34_100, medium
czech-Cz06_Kolohousenka, light
czech-Cz07_TVP_46, medium
czech-Cz08_T_25, drum medium
czech-Cz09_T_24, medium
czech-Cz10_LT_vz38, drum light
czech-Cz11_V_8_H, medium
czech-Cz13_T_27, drum medium premium
czech-Cz14_Skoda_T-56,drum heavy premium
czech-Cz15_Skoda_T-45_Prem,heavy premium
czech-Cz16_TNH_T_vz51,drum heavy
czech-Cz17_Vz_55,drum heavy
czech-Cz18_TNH_105_1000,heavy
czech-Cz19_Vz_44_1,heavy
france-F01_RenaultFT, drum light
france-F01_RenaultFT_bot, drum light premium
france-F02_D1, light
france-F03_D2, medium
france-F04_B1, heavy
france-F04_B1_bootcamp, heavy premium
france-F05_BDR_G1B, heavy
france-F06_ARL_44, heavy
france-F07_AMX_M4_1945, heavy
france-F08_AMX_50_100, Drum heavy
france-F08_AMX_50_100_IGR, Drum heavy
france-F09_AMX_50_120, Drum heavy
france-F10_AMX_50B, Drum heavy
france-F10_AMX_50B_fallout, Drum heavy premium
france-F100_Panhard_EBR_90, light
france-F106_Panhard_EBR_75_Mle1954, drum light premium
france-F107_Hotchkiss_EBR, light
france-F108_Panhard_EBR_105, light
france-F109_AMD_Panhard_178B, light
france-F11_Renault_G1R, medium
france-F110_Lynx_6x6, light
france-F111_AM39_Gendron_Somua, light premium
france-F112_M10_RBFM, destroyer premium
france-F113_Bretagne_Panther, medium premium
france-F114_Projet_4_1, drum medium premium
france-F115_Lorraine_50t,heavy premium
france-F116_Bat_Chatillon_Bourrasque, drum medium premium
france-F117_Alt_Proto_AMX_30,medium premium
france-F12_Hotchkiss_H35, light
france-F13_AMX38, light
france-F14_AMX40, light
france-F15_AMX_12t, Drum light
france-F16_AMX_13_75, Drum light
france-F17_AMX_13_90, Drum light
france-F17_AMX_13_90_Halloween_event,light
france-F17_AMX_13_90_IGR, Drum light
france-F18_Bat_Chatillon25t, Drum medium
france-F18_Bat_Chatillon25t_IGR, Drum medium
france-F19_Lorraine40t, Drum medium
france-F20_RenaultBS, artillery
france-F21_Lorraine39_L_AM, artillery
france-F22_AMX_105AM, artillery
france-F23_AMX_13F3AM, artillery
