WOT-DATA,2
{{EN}},HasDrum/AnyGun #1383
{{RU}},HasDrum/AnyGun #1383
#
# Drum1=HasDrum
# Drum0=NoDrum
#
# China
#
china-Ch01_Type59,Drum0
china-Ch01_Type59_Gold,Drum0
china-Ch02_Type62,Drum0
china-Ch03_WZ_111_A,Drum0
china-Ch03_WZ-111,Drum0
china-Ch04_T34_1,Drum0
china-Ch04_T34_1_training,Drum0
china-Ch05_T34_2,Drum0
china-Ch06_Renault_NC31,Drum0
china-Ch06_Renault_NC31_bot,Drum0
china-Ch07_Vickers_MkE_Type_BT26,Drum1
china-Ch08_Type97_Chi_Ha,Drum0
china-Ch08_Type97_Chi_Ha_bootcamp,Drum0
china-Ch09_M5,Drum0
china-Ch10_IS2,Drum0
china-Ch11_110,Drum0
china-Ch11_110_IGR,Drum0
china-Ch12_111_1_2_3,Drum0
china-Ch14_T34_3,Drum0
china-Ch15_59_16,Drum0
china-Ch16_WZ_131,Drum0
china-Ch17_WZ131_1_WZ132,Drum0
china-Ch17_WZ131_1_WZ132_IGR,Drum0
china-Ch18_WZ-120,Drum0
china-Ch19_121,Drum0
china-Ch19_121_IGR,Drum0
china-Ch20_Type58,Drum0
china-Ch21_T34,Drum0
china-Ch22_113,Drum0
china-Ch22_113_Beijing_Opera,Drum0
china-Ch22_113P,Drum0
china-Ch23_112,Drum0
china-Ch23_112_FL,Drum0
china-Ch24_Type64,Drum0
china-Ch25_121_mod_1971B,Drum0
china-Ch26_59_Patton,Drum0
china-Ch28_WZ_132A,Drum0
china-Ch29_Type_62C_prot,Drum0
china-Ch30_T-26G_FT,Drum0
china-Ch31_M3G_FT,Drum0
china-Ch32_SU-76G_FT,Drum0
china-Ch33_60G_FT,Drum0
china-Ch34_WZ131G_FT,Drum0
china-Ch35_T-34-2G_FT,Drum0
china-Ch36_WZ111_1G_FT,Drum0
china-Ch37_WZ111G_FT,Drum0
china-Ch38_WZ113G_FT,Drum0
china-Ch39_WZ120_1G_FT,Drum0
china-Ch40_WZ120G_FT,Drum0
china-Ch41_WZ_111_5A,Drum0
china-Ch41_WZ_111_QL,Drum0
china-Ch42_WalkerBulldog_M41D,Drum0
#
# Czech
#
czech-Cz01_Skoda_T40,Drum0
czech-Cz02_TVP_T50,Drum1
